brand,image_url,brand_encoded,feature_Longevity_Men,feature_Longevity_Unisex,feature_Longevity_Women,feature_Occasion_Business,feature_Occasion_Daily,feature_Occasion_Evening,feature_Occasion_Leisure,feature_Occasion_Night_Out,feature_Occasion_Sports,feature_Season_Fall,feature_Season_Spring,feature_Season_Summer,feature_Season_Winter,feature_Style_Classic,feature_Style_Modern,feature_Type_Animalic,feature_Type_Aquatic,feature_Type_Chypre,feature_Type_Citrus,feature_Type_Creamy,feature_Type_Earthy,feature_Type_Floral,feature_Type_Fougere,feature_Type_Fresh,feature_Type_Fruity,feature_Type_Gourmand,feature_Type_Green,feature_Type_Leathery,feature_Type_Oriental,feature_Type_Powdery,feature_Type_Resinous,feature_Type_Smoky,feature_Type_Spicy,feature_Type_Sweet,feature_Type_Synthetic,feature_Type_Woody
Tabac Original  Mäurer & Wirtz,https://pimages.parfumo.de/240/106141_img-8156-maeurer_amp_wirtz-tabac_original_eau_de_toilette_240.jpg,1198,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bogart  Jacques Bogart,https://pimages.parfumo.de/240/2426_img-3712-jacques_bogart-bogart_eau_de_toilette_240.jpg,184,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vermeil for Men Jean Louis Vermeil,https://pimages.parfumo.de/240/14298_img-8564-jean_louis_vermeil-vermeil_pour_homme_240.jpg,1303,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sir - Irisch Moos  4711,https://pimages.parfumo.de/240/69905_gsjksz_irisch_moos_eau_de_toilette_240.jpg,1133,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shalimar Millésime Jasmin Guerlain,https://pimages.parfumo.de/240/279001_img-6066-guerlain-shalimar-millesime-jasmin_240.jpg,1121,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Climat (1967)  Lancôme,https://pimages.parfumo.de/240/1331_s8kis3_climat_1967_eau_de_toilette_240.jpg,278,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polo  Ralph Lauren,https://pimages.parfumo.de/240/774_img-1944-ralph_lauren-polo_eau_de_toilette_240.jpg,996,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Léonard pour Homme  Léonard,https://pimages.parfumo.de/240/17020_img-8563-leonard-leonard_pour_homme_eau_de_toilette_240.jpg,732,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boss Number One  Hugo Boss,https://pimages.parfumo.de/240/1075_img-9554-hugo-boss-boss-number-one-boss-eau-de-toilette_240.jpg,199,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tosca  Mäurer & Wirtz,https://pimages.parfumo.de/240/5626_img-1341-maeurer_amp_wirtz-tosca_eau_de_cologne_240.jpg,1241,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
